Subject_ID,Age,Handedness,languageCount,musicInstrument,musicPractice,musicTraining,Trial Number,Target Angle,Hand Angle,RT,MT,Hand_Path
164800,19,righth,3+,yes,0,"""0-1""",34,135,47.66594884,2990,1056,"{""sample_1_time"": 272, ""last_time"": 1055, ""sample_0_time"": 10, ""sample_2_y"": 376, ""count"": 117, ""sample_1_y"": 450, ""sample_2_x"": 1028, ""sample_0_x"": 918, ""first_y"": 491, ""last_x"": 1115, ""sample_2_time"": 513, ""sample_3_x"": 1089, ""sample_1_x"": 962, ""sample_4_y"": 266, ""first_time"": 10, ""sample_4_x"": 1115, ""sample_3_y"": 321, ""first_x"": 918, ""sample_0_y"": 491, ""sample_3_time"": 780, ""sample_4_time"": 1055, ""last_y"": 266}"
164800,19,righth,3+,yes,0,"""0-1""",35,225,308.2381099,2424,1292,"{""sample_2_y"": 665, ""sample_4_time"": 1292, ""sample_0_y"": 523, ""sample_2_time"": 662, ""sample_4_x"": 1097, ""last_x"": 1097, ""sample_0_x"": 913, ""sample_3_time"": 967, ""first_time"": 8, ""sample_3_x"": 1064, ""sample_3_y"": 710, ""sample_1_y"": 626, ""sample_1_time"": 333, ""last_time"": 1292, ""first_x"": 913, ""sample_2_x"": 1024, ""last_y"": 752, ""count"": 147, ""sample_4_y"": 752, ""first_y"": 523, ""sample_0_time"": 8, ""sample_1_x"": 978}"
164800,19,righth,3+,yes,0,"""0-1""",36,45,219.0765985,2462,2238,"{""count"": 227, ""last_time"": 2237, ""sample_4_y"": 705, ""sample_2_time"": 983, ""sample_1_y"": 640, ""sample_1_time"": 492, ""first_time"": 8, ""sample_1_x"": 746, ""sample_3_x"": 895, ""sample_3_y"": 523, ""sample_4_time"": 2237, ""sample_0_time"": 8, ""sample_0_x"": 892, ""first_y"": 523, ""sample_2_x"": 689, ""sample_4_x"": 650, ""sample_3_time"": 1525, ""last_x"": 650, ""first_x"": 892, ""sample_0_y"": 523, ""sample_2_y"": 704, ""last_y"": 705}"
164800,19,righth,3+,yes,0,"""0-1""",37,225,219.644175,2408,1115,"{""sample_4_x"": 655, ""sample_0_y"": 520, ""sample_1_x"": 780, ""sample_3_x"": 671, ""sample_4_time"": 1115, ""sample_3_y"": 688, ""sample_4_y"": 705, ""sample_0_x"": 879, ""sample_2_x"": 704, ""first_x"": 879, ""last_time"": 1115, ""last_y"": 705, ""sample_0_time"": 7, ""count"": 129, ""last_x"": 655, ""first_time"": 7, ""sample_3_time"": 832, ""sample_1_y"": 590, ""sample_1_time"": 274, ""sample_2_time"": 557, ""sample_2_y"": 652, ""first_y"": 520}"
164800,19,righth,3+,yes,0,"""0-1""",38,135,129.7825607,2452,767,"{""sample_3_y"": 292, ""sample_0_y"": 489, ""sample_3_x"": 718, ""sample_4_y"": 257, ""count"": 89, ""sample_1_x"": 821, ""sample_2_time"": 375, ""sample_0_time"": 9, ""sample_4_x"": 696, ""sample_1_time"": 192, ""sample_2_x"": 751, ""sample_3_time"": 583, ""last_x"": 696, ""first_time"": 9, ""first_x"": 881, ""sample_4_time"": 767, ""sample_0_x"": 881, ""last_time"": 767, ""first_y"": 489, ""last_y"": 257, ""sample_2_y"": 340, ""sample_1_y"": 421}"
164800,19,righth,3+,yes,0,"""0-1""",39,225,222.5876353,2348,909,"{""sample_2_y"": 642, ""sample_1_x"": 749, ""first_y"": 510, ""count"": 101, ""last_time"": 909, ""sample_1_y"": 605, ""sample_4_time"": 909, ""sample_2_x"": 709, ""sample_4_y"": 718, ""sample_3_x"": 681, ""sample_0_time"": 8, ""sample_0_x"": 875, ""sample_1_time"": 246, ""last_y"": 718, ""sample_4_x"": 665, ""sample_0_y"": 510, ""first_x"": 875, ""sample_3_time"": 682, ""sample_2_time"": 454, ""first_time"": 8, ""sample_3_y"": 689, ""last_x"": 665}"
164800,19,righth,3+,yes,0,"""0-1""",40,315,308.2381099,2437,1567,"{""sample_4_time"": 1567, ""sample_3_y"": 739, ""sample_1_time"": 358, ""sample_2_y"": 703, ""sample_3_x"": 1080, ""sample_0_time"": 8, ""sample_1_y"": 634, ""sample_0_y"": 524, ""last_y"": 752, ""sample_4_y"": 752, ""first_y"": 524, ""sample_3_time"": 1117, ""last_time"": 1567, ""sample_2_x"": 1058, ""sample_2_time"": 717, ""sample_4_x"": 1097, ""count"": 164, ""sample_1_x"": 1007, ""sample_0_x"": 907, ""last_x"": 1097, ""first_time"": 8, ""first_x"": 907}"
164800,19,righth,3+,yes,0,"""0-1""",41,135,219.0505187,2407,2720,"{""sample_4_y"": 704, ""sample_4_x"": 651, ""first_x"": 889, ""sample_1_y"": 668, ""sample_3_x"": 776, ""sample_2_x"": 669, ""last_time"": 2720, ""sample_1_x"": 698, ""sample_0_y"": 522, ""first_time"": 8, ""sample_3_y"": 592, ""sample_0_time"": 8, ""last_x"": 651, ""sample_2_time"": 1354, ""sample_4_time"": 2720, ""last_y"": 704, ""sample_2_y"": 700, ""sample_0_x"": 889, ""first_y"": 522, ""sample_3_time"": 2117, ""sample_1_time"": 572, ""count"": 263}"
164800,19,righth,3+,yes,0,"""0-1""",42,45,139.0675196,2723,625,"{""sample_2_time"": 309, ""sample_4_y"": 293, ""sample_0_y"": 483, ""last_time"": 625, ""sample_3_y"": 319, ""sample_1_x"": 814, ""first_x"": 883, ""sample_3_time"": 475, ""first_time"": 10, ""sample_3_x"": 690, ""sample_1_time"": 159, ""first_y"": 483, ""sample_2_x"": 737, ""sample_4_time"": 625, ""sample_4_x"": 659, ""sample_1_y"": 425, ""count"": 73, ""last_x"": 659, ""sample_2_y"": 365, ""sample_0_time"": 10, ""sample_0_x"": 883, ""last_y"": 293}"
164800,19,righth,3+,yes,0,"""0-1""",43,315,223.2180394,2848,904,"{""sample_3_y"": 689, ""sample_1_time"": 316, ""sample_2_time"": 504, ""first_x"": 876, ""sample_2_y"": 634, ""first_time"": 8, ""sample_1_y"": 525, ""last_x"": 668, ""sample_0_x"": 876, ""count"": 91, ""last_time"": 904, ""sample_0_y"": 506, ""sample_1_x"": 855, ""last_y"": 720, ""sample_2_x"": 733, ""first_y"": 506, ""sample_4_y"": 720, ""sample_3_x"": 687, ""sample_0_time"": 8, ""sample_3_time"": 696, ""sample_4_x"": 668, ""sample_4_time"": 904}"
